go_term_qid,go_props_qid,id,go_termLabel
Q22255124,P682,GO:0061311,cell surface receptor signaling pathway involved in heart development
Q22255127,P682,GO:0003134,endodermal-mesodermal cell signaling involved in heart induction
Q22255128,P682,GO:0003129,heart induction
Q22255129,P682,GO:0003269,BMP signaling pathway involved in regulation of secondary heart field cardioblast proliferation
Q22255130,P682,GO:0021898,commitment of multipotent stem cells to neuronal lineage in forebrain
Q22255131,P682,GO:0022024,BMP signaling pathway involved in forebrain neuron fate commitment
Q22255134,P682,GO:0060994,regulation of transcription from RNA polymerase II promoter involved in kidney development
Q22255137,P682,GO:1902830,negative regulation of spinal cord association neuron differentiation
Q22255139,P682,GO:0051962,positive regulation of nervous system development
Q22255142,P682,GO:1902812,regulation of BMP signaling pathway involved in determination of lateral mesoderm left/right asymmetry
Q22255143,P682,GO:1902813,negative regulation of BMP signaling pathway involved in determination of lateral mesoderm left/right asymmetry
Q22255144,P682,GO:0071694,maintenance of protein location in extracellular region
Q22255145,P682,GO:2001285,negative regulation of BMP secretion
Q22255146,P682,GO:0038056,negative regulation of BMP signaling pathway by negative regulation of BMP secretion
Q22255150,P682,GO:1902831,positive regulation of spinal cord association neuron differentiation
Q22255153,P682,GO:1902814,positive regulation of BMP signaling pathway involved in determination of lateral mesoderm left/right asymmetry
Q22255154,P682,GO:1902829,regulation of spinal cord association neuron differentiation
Q22255158,P682,GO:2000380,regulation of mesoderm development
Q22255162,P682,GO:2000223,regulation of BMP signaling pathway involved in heart jogging
Q22255163,P682,GO:1900239,regulation of phenotypic switching
Q22255165,P682,GO:1900240,negative regulation of phenotypic switching
Q22255167,P682,GO:1900241,positive regulation of phenotypic switching
Q22255171,P682,GO:1900397,regulation of pyrimidine nucleotide biosynthetic process
Q22255174,P682,GO:0031137,regulation of conjugation with cellular fusion
Q22255176,P682,GO:0010590,regulation of septum digestion after cytokinesis
Q22255179,P682,GO:0060634,"regulation of 4,6-pyruvylated galactose residue biosynthetic process"
Q22255185,P682,GO:0032995,regulation of fungal-type cell wall biogenesis
Q22255189,P682,GO:0034756,regulation of iron ion transport
Q22255192,P682,GO:1900400,regulation of iron ion import into cell by regulation of transcription from RNA polymerase II promoter
Q22255196,P682,GO:0046324,regulation of glucose import
Q22255198,P682,GO:0070623,regulation of thiamine biosynthetic process
Q22255203,P682,GO:1900107,regulation of nodal signaling pathway
Q22255204,P682,GO:1900145,regulation of nodal signaling pathway involved in determination of left/right asymmetry
Q22255207,P682,GO:1900176,negative regulation of nodal signaling pathway involved in determination of lateral mesoderm left/right asymmetry
Q22255212,P682,GO:0038107,nodal signaling pathway involved in determination of left/right asymmetry
Q22255213,P682,GO:0060358,negative regulation of leucine import
Q22255221,P682,GO:0071281,cellular response to iron ion
Q22255228,P682,GO:1902064,regulation of transcription from RNA polymerase II promoter involved in spermatogenesis
Q22255234,P682,GO:1900237,positive regulation of induction of conjugation with cellular fusion
Q22255239,P682,GO:0061431,cellular response to methionine
Q22255251,P682,GO:0003255,endocardial precursor cell differentiation
Q22255252,P682,GO:0003258,regulation of transcription from RNA polymerase II promoter involved in endocardial precursor cell differentiation
Q22255301,P682,GO:0036295,cellular response to increased oxygen levels
Q22255305,P682,GO:0036316,SREBP-SCAP complex retention in endoplasmic reticulum
Q22255314,P682,GO:0090018,posterior neural plate formation
Q22255342,P682,GO:0061420,regulation of transcription from RNA polymerase II promoter in response to biotin starvation
Q22255347,P682,GO:1990248,regulation of transcription from RNA polymerase II promoter in response to DNA damage
Q22255348,P682,GO:0090017,anterior neural plate formation
Q22257094,P682,GO:1901921,phosphorylation of RNA polymerase II C-terminal domain involved in recruitment of 3'-end processing factors to RNA polymerase II holoenzyme complex
Q22257096,P682,GO:0071619,phosphorylation of RNA polymerase II C-terminal domain serine 2 residues
Q22257099,P682,GO:1903655,phosphorylation of RNA polymerase II C-terminal domain serine 2 residues involved in positive regulation of transcription elongation from RNA polymerase II promoter
Q22257101,P682,GO:0071620,phosphorylation of RNA polymerase II C-terminal domain serine 5 residues
Q22257102,P682,GO:1900018,phosphorylation of RNA polymerase II C-terminal domain serine 5 residues involved in recruitment of mRNA capping enzyme to RNA polymerase II holoenzyme complex
Q22257103,P682,GO:1903654,phosphorylation of RNA polymerase II C-terminal domain serine 5 residues involved in positive regulation of transcription elongation from RNA polymerase II promoter
Q22257104,P682,GO:0072212,regulation of transcription from RNA polymerase II promoter involved in metanephros development
Q22257107,P682,GO:0032443,regulation of ergosterol biosynthetic process
Q22257108,P682,GO:0090088,regulation of oligopeptide transport
Q22257111,P682,GO:0090089,regulation of dipeptide transport
Q22257112,P682,GO:2001148,regulation of dipeptide transmembrane transport
Q22257119,P682,GO:0060845,venous endothelial cell fate commitment
Q22257121,P682,GO:0060838,lymphatic endothelial cell fate commitment
Q22257122,P682,GO:0060898,eye field cell fate commitment involved in camera-type eye formation
Q22257128,P682,GO:0021917,somatic motor neuron fate commitment
Q22257130,P682,GO:0008293,torso signaling pathway
Q22260592,P682,GO:0010565,regulation of cellular ketone metabolic process
Q22260593,P682,GO:2000874,regulation of glyoxylate cycle
Q22260599,P682,GO:2000909,regulation of sterol import
Q22260600,P682,GO:0001177,regulation of transcription open complex formation at RNA polymerase II promoter
Q22260601,P682,GO:0001178,regulation of transcriptional start site selection at RNA polymerase II promoter
Q22260603,P682,GO:1903357,regulation of transcription initiation from RNA polymerase I promoter
Q22260605,P682,GO:0031555,transcriptional attenuation
Q22260607,P682,GO:0031556,transcriptional attenuation by ribosome
Q22260610,P682,GO:0090052,regulation of pericentric heterochromatin assembly
Q22260611,P682,GO:0090053,positive regulation of pericentric heterochromatin assembly
Q22260613,P682,GO:0090055,positive regulation of silent mating-type cassette heterochromatin assembly
Q22260614,P682,GO:0031940,positive regulation of chromatin silencing at telomere
Q22260616,P682,GO:0090309,positive regulation of DNA methylation-dependent heterochromatin assembly
Q22260617,P682,GO:2000749,positive regulation of rDNA heterochromatin assembly
Q22260620,P682,GO:0070921,regulation of production of siRNA involved in chromatin silencing by small RNA
Q22260622,P682,GO:0065009,regulation of molecular function
Q22260623,P682,GO:1990787,negative regulation of hh target transcription factor activity
Q22260633,P682,GO:0007531,mating type determination
Q22260639,P682,GO:0048518,positive regulation of biological process
Q21116244,P682,GO:0019551,glutamate catabolic process to 2-oxoglutarate
Q21116260,P682,GO:0003311,pancreatic D cell differentiation
Q21116261,P682,GO:0090104,pancreatic epsilon cell differentiation
Q21116265,P682,GO:0048611,embryonic ectodermal digestive tract development
Q21116280,P682,GO:0006419,alanyl-tRNA aminoacylation
Q21116308,P682,GO:0019413,acetate biosynthetic process
Q21123971,P682,GO:0061350,planar cell polarity pathway involved in cardiac muscle tissue morphogenesis
Q21123972,P682,GO:0061354,planar cell polarity pathway involved in pericardium morphogenesis
Q21123993,P682,GO:0070782,phosphatidylserine exposure on apoptotic cell surface
Q21123998,P682,GO:0035281,pre-miRNA export from nucleus
Q21123999,P682,GO:1900370,positive regulation of RNA interference
Q21124006,P682,GO:0000821,regulation of arginine metabolic process
Q21124023,P682,GO:1990744,primary miRNA methylation
Q21124026,P682,GO:0070255,regulation of mucus secretion
Q21124030,P682,GO:0045751,negative regulation of Toll signaling pathway
Q21124032,P682,GO:0043487,regulation of RNA stability
Q21124044,P682,GO:0035397,helper T cell enhancement of adaptive immune response
Q21124059,P682,GO:0071545,inositol phosphate catabolic process
Q21124072,P682,GO:0015707,nitrite transport
Q21124073,P682,GO:0006876,cellular cadmium ion homeostasis
Q21124074,P682,GO:0032623,interleukin-2 production
Q21124075,P682,GO:0032632,interleukin-3 production
Q21124076,P682,GO:0045342,MHC class II biosynthetic process
Q21124080,P682,GO:0070839,metal ion export
Q21124089,P682,GO:0009444,pyruvate oxidation
Q21124090,P682,GO:0038097,positive regulation of mast cell activation by Fc-epsilon receptor signaling pathway
Q21124094,P682,GO:0090126,protein-containing complex assembly involved in synapse maturation
Q21124247,P682,GO:0090155,negative regulation of sphingolipid biosynthetic process
Q21124250,P682,GO:0090156,cellular sphingolipid homeostasis
Q21124261,P682,GO:0007066,female meiosis sister chromatid cohesion
Q21124288,P682,GO:0014707,branchiomeric skeletal muscle development
Q21124295,P682,GO:0000966,RNA 5'-end processing
Q21124327,P682,GO:0080163,regulation of protein serine/threonine phosphatase activity
Q21124337,P682,GO:2001311,lysobisphosphatidic acid metabolic process
Q21124342,P682,GO:0098734,macromolecule depalmitoylation
Q21124350,P682,GO:0031119,tRNA pseudouridine synthesis
Q21124357,P682,GO:0051238,sequestering of metal ion
Q21124388,P682,GO:2000254,regulation of male germ cell proliferation
Q21124408,P682,GO:0071475,cellular hyperosmotic salinity response
Q21124416,P682,GO:0015746,citrate transport
Q21124418,P682,GO:0035674,tricarboxylic acid transmembrane transport
Q21124432,P682,GO:0040040,thermosensory behavior
Q21124438,P682,GO:0071477,cellular hypotonic salinity response
Q21124455,P682,GO:0032328,alanine transport
Q21124477,P682,GO:0060566,"positive regulation of DNA-templated transcription, termination"
Q21124478,P682,GO:2000806,"positive regulation of termination of RNA polymerase II transcription, poly(A)-coupled"
Q21124498,P682,GO:0033260,nuclear DNA replication
Q21124504,P682,GO:0060007,linear vestibuloocular reflex
Q21124527,P682,GO:0061386,closure of optic fissure
Q21124528,P682,GO:0035332,positive regulation of hippo signaling
Q21124531,P682,GO:0060648,mammary gland bud morphogenesis
Q21124553,P682,GO:0070649,formin-nucleated actin cable assembly
Q21124554,P682,GO:0040038,polar body extrusion after meiotic divisions
Q21124583,P682,GO:0006781,succinyl-CoA pathway
Q21124595,P682,GO:0060478,acrosomal vesicle exocytosis
Q21124603,P682,GO:0070159,mitochondrial threonyl-tRNA aminoacylation
Q21124605,P682,GO:0006437,tyrosyl-tRNA aminoacylation
Q21124620,P682,GO:0006313,"transposition, DNA-mediated"
Q21124633,P682,GO:0002876,positive regulation of chronic inflammatory response to antigenic stimulus
Q21124636,P682,GO:0002891,positive regulation of immunoglobulin mediated immune response
Q21124637,P682,GO:0035709,memory T cell activation
Q21124638,P682,GO:0035712,T-helper 2 cell activation
Q21124639,P682,GO:0035713,response to nitrogen dioxide
Q21124640,P682,GO:0035714,cellular response to nitrogen dioxide
Q21124641,P682,GO:0035783,"CD4-positive, alpha-beta T cell costimulation"
Q21124642,P682,GO:1900281,"positive regulation of CD4-positive, alpha-beta T cell costimulation"
Q21124643,P682,GO:2000572,positive regulation of interleukin-4-dependent isotype switching to IgE isotypes
Q21124646,P682,GO:0045585,positive regulation of cytotoxic T cell differentiation
Q21124654,P682,GO:2000329,negative regulation of T-helper 17 cell lineage commitment
Q21124655,P682,GO:2000508,regulation of dendritic cell chemotaxis
Q21124693,P682,GO:0010808,positive regulation of synaptic vesicle priming
Q21124731,P682,GO:0055082,cellular chemical homeostasis
Q21124825,P682,GO:1902749,regulation of cell cycle G2/M phase transition
Q21124833,P682,GO:0032074,negative regulation of nuclease activity
Q21124857,P682,GO:0060668,regulation of branching involved in salivary gland morphogenesis by extracellular matrix-epithelial cell signaling
Q21124865,P682,GO:0048327,axial mesodermal cell fate specification
Q21124866,P682,GO:0010085,polarity specification of proximal/distal axis
Q21124867,P682,GO:0002085,inhibition of neuroepithelial cell differentiation
Q21124868,P682,GO:0010721,negative regulation of cell development
Q21124869,P682,GO:0033505,floor plate morphogenesis
Q21124870,P682,GO:0060802,epiblast cell-extraembryonic ectoderm cell signaling involved in anterior/posterior axis specification
Q21124871,P682,GO:0090010,transforming growth factor beta receptor signaling pathway involved in primitive streak formation
Q21124892,P682,GO:1990697,protein depalmitoleylation
Q21124896,P682,GO:0043012,regulation of fusion of sperm to egg plasma membrane
Q21124905,P682,GO:0072697,protein localization to cell cortex
Q21124921,P682,GO:0030719,P granule organization
Q21124931,P682,GO:0001951,intestinal D-glucose absorption
Q21124932,P682,GO:0032532,regulation of microvillus length
Q21124933,P682,GO:1902896,terminal web assembly
Q21124952,P682,GO:0010921,regulation of phosphatase activity
Q21125015,P682,GO:0036258,multivesicular body assembly
Q21125018,P682,GO:0061646,positive regulation of glutamate neurotransmitter secretion in response to membrane depolarization
Q21125026,P682,GO:1903434,negative regulation of constitutive secretory pathway
Q21125046,P682,GO:0010830,regulation of myotube differentiation
Q21113403,P682,GO:0032048,cardiolipin metabolic process
Q21113414,P682,GO:0017196,N-terminal peptidyl-methionine acetylation
Q21113427,P682,GO:0045625,regulation of T-helper 1 cell differentiation
Q21113460,P682,GO:0070060,'de novo' actin filament nucleation
Q21113469,P682,GO:0055024,regulation of cardiac muscle tissue development
Q21113506,P682,GO:0061097,regulation of protein tyrosine kinase activity
Q21113509,P682,GO:0009637,response to blue light
Q21113511,P682,GO:0032344,regulation of aldosterone metabolic process
Q21113539,P682,GO:0071622,regulation of granulocyte chemotaxis
Q21113589,P682,GO:0007386,compartment pattern specification
Q21113594,P682,GO:1902045,negative regulation of Fas signaling pathway
Q21113617,P682,GO:1990502,dense core granule maturation
Q21113621,P682,GO:0032483,regulation of Rab protein signal transduction
Q21113645,P682,GO:0003415,chondrocyte hypertrophy
Q21113648,P682,GO:0010609,mRNA localization resulting in posttranscriptional regulation of gene expression
Q21113657,P682,GO:0002820,negative regulation of adaptive immune response
Q21113660,P682,GO:1903676,positive regulation of cap-dependent translational initiation
Q21113661,P682,GO:1903679,positive regulation of cap-independent translational initiation
Q21113665,P682,GO:0009720,detection of hormone stimulus
Q21113666,P682,GO:0010872,regulation of cholesterol esterification
Q21113673,P682,GO:0006660,phosphatidylserine catabolic process
Q21113676,P682,GO:0010949,negative regulation of intestinal phytosterol absorption
Q21113677,P682,GO:0045796,negative regulation of intestinal cholesterol absorption
Q21113688,P682,GO:0019254,"carnitine metabolic process, CoA-linked"
Q21113689,P682,GO:0051793,medium-chain fatty acid catabolic process
Q21113692,P682,GO:0046359,butyrate catabolic process
Q21113695,P682,GO:0042413,carnitine catabolic process
Q21113698,P682,GO:0009305,protein biotinylation
Q21113699,P682,GO:0006768,biotin metabolic process
Q21113706,P682,GO:0071110,histone biotinylation
Q21113710,P682,GO:0035358,regulation of peroxisome proliferator activated receptor signaling pathway
Q21113711,P682,GO:0042595,behavioral response to starvation
Q21113712,P682,GO:0035356,cellular triglyceride homeostasis
Q21113713,P682,GO:0071441,negative regulation of histone H3-K14 acetylation
Q21113714,P682,GO:2000757,negative regulation of peptidyl-lysine acetylation
Q21113716,P682,GO:0032071,regulation of endodeoxyribonuclease activity
Q21113717,P682,GO:0031393,negative regulation of prostaglandin biosynthetic process
Q21113718,P682,GO:2000655,negative regulation of cellular response to testosterone stimulus
Q21113727,P682,GO:0071883,activation of MAPK activity by adrenergic receptor signaling pathway
Q21113730,P682,GO:0070473,negative regulation of uterine smooth muscle contraction
Q21113731,P682,GO:0071881,adenylate cyclase-inhibiting adrenergic receptor signaling pathway
Q21113733,P682,GO:2000309,positive regulation of tumor necrosis factor (ligand) superfamily member 11 production
Q21113734,P682,GO:2000415,positive regulation of fibronectin-dependent thymocyte migration
Q21113735,P682,GO:2000418,positive regulation of eosinophil migration
Q21113738,P682,GO:0006382,adenosine to inosine editing
Q21113757,P682,GO:0061090,positive regulation of sequestering of zinc ion
Q21113760,P682,GO:0009756,carbohydrate mediated signaling
Q21120500,P682,GO:1903016,negative regulation of exo-alpha-sialidase activity
Q21120501,P682,GO:1903019,negative regulation of glycoprotein metabolic process
Q21120504,P682,GO:2000816,negative regulation of mitotic sister chromatid separation
Q21120510,P682,GO:0070940,dephosphorylation of RNA polymerase II C-terminal domain
Q21120520,P682,GO:0021575,hindbrain morphogenesis
Q21120523,P682,GO:1900746,regulation of vascular endothelial growth factor signaling pathway
Q21120526,P682,GO:0097051,establishment of protein localization to endoplasmic reticulum membrane
Q21120527,P682,GO:1903061,positive regulation of protein lipidation
Q21120528,P682,GO:1903373,positive regulation of endoplasmic reticulum tubular network organization
Q21120560,P682,GO:0072684,"mitochondrial tRNA 3'-trailer cleavage, endonucleolytic"
Q21120563,P682,GO:0034414,"tRNA 3'-trailer cleavage, endonucleolytic"
Q21120575,P682,GO:0006429,leucyl-tRNA aminoacylation
Q21120579,P682,GO:0060675,ureteric bud morphogenesis
Q21120580,P682,GO:0021557,oculomotor nerve development
Q21120581,P682,GO:0021558,trochlear nerve development
Q21120582,P682,GO:0045977,"positive regulation of mitotic cell cycle, embryonic"
Q21120583,P682,GO:0061106,negative regulation of stomach neuroendocrine cell differentiation
Q21120585,P682,GO:0072141,renal interstitial fibroblast development
Q21120586,P682,GO:0072282,metanephric nephron tubule morphogenesis
Q21120587,P682,GO:2000227,negative regulation of pancreatic A cell differentiation
Q21120588,P682,GO:2000974,negative regulation of pro-B cell differentiation
Q21120589,P682,GO:2000978,negative regulation of forebrain neuron differentiation
Q21120596,P682,GO:2000981,negative regulation of inner ear receptor cell differentiation
Q21120612,P682,GO:0002715,regulation of natural killer cell mediated immunity
Q21120614,P682,GO:0032759,positive regulation of TRAIL production
Q21120615,P682,GO:0036037,"CD8-positive, alpha-beta T cell activation"
Q21120628,P682,GO:0010610,regulation of mRNA stability involved in response to stress
Q21120629,P682,GO:0022013,pallium cell proliferation in forebrain
Q21120651,P682,GO:0098506,polynucleotide 3' dephosphorylation
Q21120662,P682,GO:1901529,positive regulation of anion channel activity
Q21120683,P682,GO:0090272,negative regulation of fibroblast growth factor production
Q21120731,P682,GO:0006896,Golgi to vacuole transport
Q21120741,P682,GO:1902475,L-alpha-amino acid transmembrane transport
Q21120746,P682,GO:0015823,phenylalanine transport
Q21120748,P682,GO:0015820,leucine transport
Q21120755,P682,GO:0055065,metal ion homeostasis
Q21120761,P682,GO:1901919,positive regulation of exoribonuclease activity
Q21120771,P682,GO:0050994,regulation of lipid catabolic process
Q21120780,P682,GO:0061365,positive regulation of triglyceride lipase activity
Q21120793,P682,GO:0090176,microtubule cytoskeleton organization involved in establishment of planar polarity
Q21120794,P682,GO:2000574,regulation of microtubule motor activity
Q21120804,P682,GO:0046636,negative regulation of alpha-beta T cell activation
Q21120806,P682,GO:2001189,negative regulation of T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell
Q21120808,P682,GO:0032945,negative regulation of mononuclear cell proliferation
Q21120810,P682,GO:2001193,positive regulation of gamma-delta T cell activation involved in immune response
Q21120811,P682,GO:2001205,negative regulation of osteoclast development
Q21120818,P682,GO:1902414,protein localization to cell junction
Q21120832,P682,GO:0016073,snRNA metabolic process
Q21120833,P682,GO:0040031,snRNA modification
Q21120836,P682,GO:0070368,positive regulation of hepatocyte differentiation
Q21120837,P682,GO:0008078,mesodermal cell migration
Q21120838,P682,GO:0003210,cardiac atrium formation
Q21120839,P682,GO:0003236,sinus venosus morphogenesis
Q21120840,P682,GO:0003241,growth involved in heart morphogenesis
Q21120841,P682,GO:0003259,cardioblast anterior-lateral migration
Q21120842,P682,GO:0035481,positive regulation of Notch signaling pathway involved in heart induction
Q21120843,P682,GO:0060921,sinoatrial node cell differentiation
Q21120844,P682,GO:0060975,cardioblast migration to the midline involved in heart field formation
Q21120851,P682,GO:0042694,muscle cell fate specification
Q21120881,P682,GO:0061647,histone H3-K9 modification
Q21120882,P682,GO:1990619,histone H3-K9 deacetylation
Q21120884,P682,GO:0003247,post-embryonic cardiac muscle cell growth involved in heart morphogenesis
Q21120887,P682,GO:0071238,cellular response to brefeldin A
Q21120894,P682,GO:0031034,myosin filament assembly
Q21120900,P682,GO:0071976,cell gliding
Q21120903,P682,GO:0038089,positive regulation of cell migration by vascular endothelial growth factor signaling pathway
Q21120907,P682,GO:0061502,early endosome to recycling endosome transport
Q21120908,P682,GO:0051641,cellular localization
Q21120912,P682,GO:0051648,vesicle localization
Q21120916,P682,GO:0061141,lung ciliated cell differentiation
Q21120917,P682,GO:2000791,negative regulation of mesenchymal cell proliferation involved in lung development
Q21120918,P682,GO:2000795,negative regulation of epithelial cell proliferation involved in lung morphogenesis
Q21120923,P682,GO:0007440,foregut morphogenesis
Q21120924,P682,GO:1901201,regulation of extracellular matrix assembly
Q21120925,P682,GO:0021515,cell differentiation in spinal cord
Q21120926,P682,GO:0061384,heart trabecula morphogenesis
Q21120927,P682,GO:0003169,coronary vein morphogenesis
Q21120928,P682,GO:0003207,cardiac chamber formation
Q21120929,P682,GO:0003213,cardiac right atrium morphogenesis
Q21120930,P682,GO:0003256,regulation of transcription from RNA polymerase II promoter involved in myocardial precursor cell differentiation
Q21120931,P682,GO:0003270,Notch signaling pathway involved in regulation of secondary heart field cardioblast proliferation
Q21120932,P682,GO:0060843,venous endothelial cell differentiation
Q21120939,P682,GO:0002761,regulation of myeloid leukocyte differentiation
Q21120983,P682,GO:0031204,"posttranslational protein targeting to membrane, translocation"
Q21121001,P682,GO:1900045,negative regulation of protein K63-linked ubiquitination
Q21121084,P682,GO:0098829,intestinal folate absorption
Q21121085,P682,GO:1904447,folate import across plasma membrane
Q21121126,P682,GO:0060989,lipid tube assembly involved in organelle fusion
Q21121149,P682,GO:0060785,regulation of apoptosis involved in tissue homeostasis
Q21121151,P682,GO:2001057,reactive nitrogen species metabolic process
Q21121162,P682,GO:0009893,positive regulation of metabolic process
Q21121166,P682,GO:0010845,positive regulation of reciprocal meiotic recombination
Q21121185,P682,GO:0016557,peroxisome membrane biogenesis
Q21121186,P682,GO:0044375,regulation of peroxisome size
Q21121206,P682,GO:0070384,Harderian gland development
Q21121207,P682,GO:1903697,negative regulation of microvillus assembly
Q21121226,P682,GO:0070586,cell-cell adhesion involved in gastrulation
Q21121234,P682,GO:0060178,regulation of exocyst localization
Q21121235,P682,GO:0032484,Ral protein signal transduction
Q21121238,P682,GO:1903586,positive regulation of histone deubiquitination
Q14860468,P682,GO:0007189,adenylate cyclase-activating G protein-coupled receptor signaling pathway
Q14860470,P682,GO:0007266,Rho protein signal transduction
Q14860471,P682,GO:0009967,positive regulation of signal transduction
Q14860472,P682,GO:0030501,positive regulation of bone mineralization
Q14860473,P682,GO:0034645,cellular macromolecule biosynthetic process
Q14860475,P682,GO:0046058,cAMP metabolic process
Q14860479,P682,GO:0021873,forebrain neuroblast division
Q21170891,P682,GO:2000176,positive regulation of pro-T cell differentiation
Q21170946,P682,GO:0060462,lung lobe development
Q21170949,P682,GO:1901341,positive regulation of store-operated calcium channel activity
Q21171286,P682,GO:0044088,regulation of vacuole organization
Q21171337,P682,GO:0016203,muscle attachment
Q21171628,P682,GO:0051446,positive regulation of meiotic cell cycle
Q21171694,P682,GO:1903242,regulation of cardiac muscle hypertrophy in response to stress
Q21171730,P682,GO:1902206,negative regulation of interleukin-2-mediated signaling pathway
Q21171731,P682,GO:1902212,negative regulation of prolactin signaling pathway
Q21171732,P682,GO:1902215,negative regulation of interleukin-4-mediated signaling pathway
Q21171733,P682,GO:1902233,negative regulation of positive thymic T cell selection
Q21171738,P682,GO:1902904,negative regulation of supramolecular fiber organization
Q21171747,P682,GO:0044793,negative regulation by host of viral process
Q21171748,P682,GO:2000308,negative regulation of tumor necrosis factor (ligand) superfamily member 11 production
Q21171796,P682,GO:0035732,nitric oxide storage
Q21171813,P682,GO:0098746,"fast, calcium ion-dependent exocytosis of neurotransmitter"
Q21171814,P682,GO:1903305,regulation of regulated secretory pathway
Q21171832,P682,GO:0031281,positive regulation of cyclase activity
Q21171858,P682,GO:0006272,leading strand elongation
Q21172020,P682,GO:0034120,positive regulation of erythrocyte aggregation
Q21172191,P682,GO:0060876,semicircular canal formation
Q21172192,P682,GO:0007634,optokinetic behavior
Q21172193,P682,GO:0021599,abducens nerve formation
Q21172195,P682,GO:1902728,positive regulation of growth factor dependent skeletal muscle satellite cell proliferation
Q21172196,P682,GO:0070171,negative regulation of tooth mineralization
Q21172197,P682,GO:0000415,negative regulation of histone H3-K36 methylation
Q21172245,P682,GO:1901989,positive regulation of cell cycle phase transition
Q21172246,P682,GO:0072707,cellular response to sodium dodecyl sulfate
Q21172269,P682,GO:0034440,lipid oxidation
Q21762173,P682,GO:0043640,benzoate catabolic process via hydroxylation
Q21762180,P682,GO:0030152,bacteriocin biosynthetic process
Q21762199,P682,GO:0019353,protoporphyrinogen IX biosynthetic process from glutamate
Q21762202,P682,GO:0030632,D-alanine biosynthetic process
Q21762238,P682,GO:2001158,positive regulation of proline catabolic process to glutamate
Q21762247,P682,GO:0044874,lipoprotein localization to outer membrane
Q21762255,P682,GO:0017003,protein-heme linkage
Q21762429,P682,GO:0010795,regulation of ubiquinone biosynthetic process
Q21762468,P682,GO:0044011,single-species biofilm formation on inanimate substrate
Q21762537,P682,GO:0000270,peptidoglycan metabolic process
Q21762543,P682,GO:0051051,negative regulation of transport
Q21762633,P682,GO:1900231,regulation of single-species biofilm formation on inanimate substrate
Q21762660,P682,GO:0030153,bacteriocin immunity
Q21762721,P682,GO:0015835,peptidoglycan transport
Q21762739,P682,GO:0006524,alanine catabolic process
Q21762806,P682,GO:0044238,primary metabolic process
Q21762916,P682,GO:2000155,positive regulation of cilium-dependent cell motility
Q21762957,P682,GO:0002099,tRNA wobble guanine modification
Q21762962,P682,GO:0015740,C4-dicarboxylate transport
Q21763003,P682,GO:0006799,polyphosphate biosynthetic process
Q21763083,P682,GO:0036104,Kdo2-lipid A biosynthetic process
Q21763142,P682,GO:1900191,negative regulation of single-species biofilm formation
Q21763149,P682,GO:0046336,ethanolamine catabolic process
Q21763161,P682,GO:0033252,regulation of beta-lactamase activity
Q21763183,P682,GO:0031460,glycine betaine transport
Q21763194,P682,GO:0043419,urea catabolic process
Q21763256,P682,GO:0090501,RNA phosphodiester bond hydrolysis
Q21765965,P682,GO:0009163,nucleoside biosynthetic process
Q21766815,P682,GO:0019295,coenzyme M biosynthetic process
Q21771372,P682,GO:0030416,methylamine metabolic process
Q21771375,P682,GO:0045227,capsule polysaccharide biosynthetic process
Q21771618,P682,GO:0019419,sulfate reduction
Q21772074,P682,GO:0009294,DNA mediated transformation
Q21772104,P682,GO:0030255,protein secretion by the type IV secretion system
Q21831720,P682,GO:0070201,regulation of establishment of protein localization
Q21834535,P682,GO:0018216,peptidyl-arginine methylation
Q21836413,P682,GO:0071918,urea transmembrane transport
Q21836993,P682,GO:0010954,positive regulation of protein processing
Q21837024,P682,GO:0000423,mitophagy
Q21837226,P682,GO:0000956,nuclear-transcribed mRNA catabolic process
Q21854876,P682,GO:0033005,positive regulation of mast cell activation
Q21966672,P682,GO:0015695,organic cation transport
Q21968207,P682,GO:0003254,regulation of membrane depolarization
Q21968907,P682,GO:0006491,N-glycan processing
Q21970590,P682,GO:0050881,musculoskeletal movement
Q21970631,P682,GO:0071166,ribonucleoprotein complex localization
Q21971196,P682,GO:0015881,creatine transmembrane transport
Q21971204,P682,GO:0015824,proline transport
Q21971214,P682,GO:1902230,negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage
Q21971590,P682,GO:0090324,negative regulation of oxidative phosphorylation
Q21971812,P682,GO:0002363,alpha-beta T cell lineage commitment
Q21971911,P682,GO:1904591,positive regulation of protein import
Q21972770,P682,GO:0050687,negative regulation of defense response to virus
Q21972807,P682,GO:0034767,positive regulation of ion transmembrane transport
Q21972809,P682,GO:0098656,anion transmembrane transport
Q21101867,P682,GO:0060545,positive regulation of necroptotic process
Q21101868,P682,GO:0070231,T cell apoptotic process
Q21101869,P682,GO:1901026,ripoptosome assembly involved in necroptotic process
Q21101870,P682,GO:0070926,regulation of ATP:ADP antiporter activity
Q21101872,P682,GO:0043928,exonucleolytic catabolism of deadenylated mRNA
Q21101879,P682,GO:0021541,ammon gyrus development
Q21101883,P682,GO:0051341,regulation of oxidoreductase activity
Q21101886,P682,GO:0010963,regulation of L-arginine import
Q21101887,P682,GO:0019547,arginine catabolic process to ornithine
Q21101889,P682,GO:0006525,arginine metabolic process
Q21101893,P682,GO:0003205,cardiac chamber development
Q21101894,P682,GO:0003408,optic cup formation involved in camera-type eye development
